location,price,precio_estimado,diferencia_pct,sobrevaluado,subvaluado,m2,recamaras,banos,Lujo,Amueblado,colonia
"Ladrillera, Monterrey",22500,22720.303345765733,-0.9696320617426517,False,False,60.0,1.0,1.0,1,0,Ladrillera
"Centro, Monterrey",20000,19956.237838820656,0.2192906375079062,False,False,35.0,1.0,1.0,1,1,Centro
"Jardín de las Torres, Monterrey",28500,29286.69201742603,-2.6861757447988204,False,False,126.0,2.0,2.0,1,1,Jardín de las Torres
"Santa María, Monterrey",55000,54353.72743163205,1.1890124171904424,False,False,221.0,3.0,3.0,1,1,Santa María
"Centro, Monterrey",36000,37003.103841325086,-2.710864055152096,False,False,98.0,3.0,2.0,1,0,Centro
"Monterrey, Nuevo León",22000,22184.815821689353,-0.8330735002481526,False,False,55.0,1.0,1.0,1,1,Monterrey
"Cumbre Allegro, Monterrey",22500,22720.952302781283,-0.9724605722368249,False,False,83.0,2.0,2.0,1,1,Cumbre Allegro
"Colinas de San Jerónimo, Monterrey",23000,22714.098590443187,1.2586958202123149,False,False,50.0,1.0,1.0,1,1,Colinas de San Jerónimo
"Residencial San Jerónimo II, Monterrey",28000,27862.194555087954,0.4945965208863331,False,False,101.0,3.0,2.0,0,1,Residencial San Jerónimo II
"Buenos Aires, Monterrey",29000,29323.10577261244,-1.101881141506573,False,False,94.0,3.0,2.0,1,0,Buenos Aires
"Las Torres, Monterrey",28000,28068.207091319884,-0.24300480290020787,False,False,140.0,2.0,3.0,1,1,Las Torres
"Mitras Norte, Monterrey",25000,24638.373556921084,1.4677366679398072,False,False,73.0,2.0,2.0,1,1,Mitras Norte
"Centro, Monterrey",16500,19437.665223775286,-15.113261752147396,False,False,100.0,2.0,2.0,0,0,Centro
"Centro, Monterrey",19000,19638.991635136805,-3.2536886160364897,False,False,55.0,2.0,1.0,1,0,Centro
"Ladrillera, Monterrey",33400,34165.592969201236,-2.240830328603938,False,False,92.0,2.0,2.0,1,0,Ladrillera
"Roma, Monterrey",24440,20052.3637163894,21.880893173827936,True,False,116.0,2.0,2.0,0,0,Roma
"Obispado, Monterrey",33000,31017.931921855416,6.390071662862887,False,False,90.0,3.0,2.0,0,0,Obispado
"Mitras Norte, Monterrey",20000,19535.807964344443,2.3761087153537304,False,False,56.0,1.0,1.0,0,1,Mitras Norte
"Centro, Monterrey",20000,21202.669935605725,-5.672257028281504,False,False,75.0,1.0,1.0,0,1,Centro
"Rincón de las Colinas, Monterrey",19000,16557.944805446412,14.748540493686885,False,False,80.0,2.0,2.0,0,1,Rincón de las Colinas
"Tecnológico, Monterrey",37000,34769.278576009645,6.415782884634035,False,False,95.0,2.0,1.0,1,1,Tecnológico
"Centro, Monterrey",27000,27712.910868382718,-2.572486418942257,False,False,75.0,2.0,2.0,1,1,Centro
"Centro, Monterrey",20000,20533.961192503844,-2.600380839809773,False,False,56.0,1.0,1.0,0,1,Centro
"Tecnológico, Monterrey",25000,24515.459570109106,1.9764688828500632,False,False,56.0,1.0,1.0,0,1,Tecnológico
"Cumbres, Monterrey",18000,17753.102528109313,1.3907285867344161,False,False,90.0,2.0,2.0,1,1,Cumbres
"Rincón de Santa María, Monterrey",20000,20084.135956726088,-0.41891748247158794,False,False,114.0,2.0,2.0,0,1,Rincón de Santa María
"Miravalle, Monterrey",20000,20865.698884903875,-4.148909124391706,False,False,120.0,1.0,2.0,0,0,Miravalle
"Ladrillera, Monterrey",28000,26466.250503451614,5.795114409380961,False,False,38.0,1.0,1.0,0,1,Ladrillera
"Tecnológico, Monterrey",34000,21965.754789510403,54.78639512190343,True,False,74.0,2.0,1.0,0,0,Tecnológico
"Monterrey, Nuevo León",21000,21056.409432722598,-0.26789673188504204,False,False,55.0,1.0,1.0,1,0,Monterrey
"Centro, Monterrey",25000,25101.159309461375,-0.40300652338095216,False,False,76.0,1.0,1.0,0,1,Centro
"Centro, Monterrey",31000,32542.891479183058,-4.741101386673061,False,False,80.0,2.0,2.0,1,1,Centro
"Centro, Monterrey",22000,22551.06288503697,-2.4436226702316923,False,False,54.0,1.0,1.0,0,0,Centro
"El Mirador, Monterrey",39500,39121.05498032339,0.9686472408967728,False,False,109.0,3.0,1.0,1,0,El Mirador
"San Jerónimo, Monterrey",28500,27803.781252458015,2.5040433933080064,False,False,120.0,2.0,2.0,0,1,San Jerónimo
"Monterrey, Nuevo León",17950,18436.712531882647,-2.6399095339853806,False,False,1000.0,1.0,1.0,0,0,Monterrey
"Obispado, Monterrey",22500,22783.559022436802,-1.2445773821269939,False,False,70.0,2.0,2.0,0,1,Obispado
"Centro, Monterrey",17500,20712.13950890348,-15.50848722085271,False,False,80.0,2.0,2.0,1,0,Centro
"Ladrillera, Monterrey",39900,39216.50783233969,1.742868514918285,False,False,100.0,2.0,2.0,1,1,Ladrillera
"Centro, Monterrey",22000,21794.91833918455,0.9409609048488051,False,False,60.0,2.0,2.0,0,1,Centro
"Centro, Monterrey",20000,20290.144987802425,-1.4299798644950437,False,False,54.0,2.0,2.0,0,0,Centro
"Mirador Residencial, Monterrey",28000,28581.195604952904,-2.033489476738988,False,False,130.0,2.0,3.0,0,0,Mirador Residencial
"Mitras Centro, Monterrey",26900,26754.453431126494,0.5440087544609485,False,False,85.0,2.0,2.0,1,1,Mitras Centro
"Centro, Monterrey",30000,30082.018239083878,-0.2726487246700637,False,False,83.0,2.0,2.0,1,0,Centro
"Tecnológico, Monterrey",13000,13336.449056326785,-2.522778401550402,False,False,35.0,1.0,1.0,0,1,Tecnológico
"Centro, Monterrey",36000,35952.53207869981,0.1320294247878853,False,False,98.0,3.0,3.0,1,1,Centro
"Monterrey, Nuevo León",40000,33816.07747304763,18.286930327389765,False,False,160.0,2.0,2.0,1,0,Monterrey
"10 de Junio, Monterrey",26000,20595.056009163738,26.243890710621713,True,False,65.0,1.0,2.0,1,0,10 de Junio
"Centro, Monterrey",29000,27104.242606662494,6.994319748567738,False,False,60.0,1.0,1.0,1,1,Centro
"Centro, Monterrey",21000,21140.275673842236,-0.6635470417058228,False,False,52.0,2.0,2.0,1,1,Centro
"Mitras Centro, Monterrey",27000,27020.78995354407,-0.07694058382383943,False,False,800.0,3.0,3.0,0,0,Mitras Centro
"Centro, Monterrey",25000,26023.441240228232,-3.9327667343477613,False,False,75.0,2.0,2.0,1,0,Centro
"Acero, Monterrey",19000,18172.85923445839,4.551516934513156,False,False,57.0,1.0,1.0,0,1,Acero
"Vistancias 1er Sector, Monterrey",28000,27830.04591356969,0.6106856128018129,False,False,69.0,2.0,1.0,1,0,Vistancias 1er Sector
"Centro, Monterrey",19500,21052.714771182807,-7.375366018391988,False,False,78.0,2.0,2.0,1,0,Centro
"Regina, Monterrey",21800,21441.709024473326,1.6710000826786913,False,False,1.0,2.0,,1,1,Regina
"Monterrey, Nuevo León",40000,38375.85463361912,4.23220637530258,False,False,133.0,3.0,2.0,0,0,Monterrey
"Tanque de Guadalupe, Monterrey",52000,50473.48069846352,3.0243987147550686,False,False,151.0,3.0,2.0,1,1,Tanque de Guadalupe
"Contry, Monterrey",17500,18202.233067184698,-3.8579500910286417,False,False,56.0,1.0,1.0,1,1,Contry
"Vista Hermosa, Monterrey",26000,25608.767367522498,1.5277292610876325,False,False,150.0,2.0,2.0,0,0,Vista Hermosa
"Buenos Aires, Monterrey",33000,32342.583395119,2.032665717668721,False,False,70.0,3.0,2.0,1,0,Buenos Aires
"Centro, Monterrey",43000,39817.25277771233,7.993387288811666,False,False,102.0,3.0,2.0,1,0,Centro
"Mitras Centro, Monterrey",13000,13309.744574941158,-2.3272014965961696,False,False,85.0,1.0,1.0,0,1,Mitras Centro
"Lomas de Valle Alto, Monterrey",55000,54463.1601228611,0.9856935879737102,False,False,138.0,3.0,3.0,1,0,Lomas de Valle Alto
"Monterrey, Nuevo León",35000,33804.12276556983,3.5376668186999765,False,False,140.0,2.0,2.0,1,0,Monterrey
"Centro, Monterrey",33000,30049.949822751714,9.817155085612537,False,False,33.0,2.0,2.0,1,1,Centro
"Altavista Sur, Monterrey",18900,17127.13820961376,10.351185169925827,False,False,48.0,1.0,1.0,0,0,Altavista Sur
"Centrika Victoria, Monterrey",12000,11899.244981534715,0.8467345501469761,False,False,90.0,3.0,2.0,0,0,Centrika Victoria
"Cumbres 2do Sector, Monterrey",15000,14726.024417191162,1.8604857295292754,False,False,80.0,1.0,1.0,0,0,Cumbres 2do Sector
"Centro, Monterrey",18000,18511.45506125718,-2.7629111788603256,False,False,70.0,2.0,2.0,1,0,Centro
"Monterrey Centro, Monterrey",24500,25054.98968041296,-2.2150864458221275,False,False,55.0,2.0,2.0,0,1,Monterrey Centro
"Tecnológico, Monterrey",38000,37393.550832178145,1.6218014987225793,False,False,110.0,2.0,2.0,1,1,Tecnológico
"Altavista Invernadero, Monterrey",21000,19835.058331815795,5.873144654763214,False,False,1.0,2.0,1.0,0,1,Altavista Invernadero
"Monterrey, Nuevo León",14500,17510.599631754252,-17.193012775500502,False,False,25.0,1.0,1.0,0,1,Monterrey
"Monterrey, Nuevo León",15000,15064.368227012637,-0.4272879289900497,False,False,67.0,1.0,1.0,0,1,Monterrey
"Instituto Tecnológico de Estudios Superiores de Monterrey, Monterrey",30000,30839.14509299301,-2.7210387657071387,False,False,109.0,2.0,2.0,1,1,Instituto Tecnológico de Estudios Superiores de Monterrey
"Obispado, Monterrey",25000,25312.40232453806,-1.2341867853262352,False,False,116.0,2.0,2.0,1,0,Obispado
"Tecnológico, Monterrey",10400,11301.217449609063,-7.974516494594468,False,False,40.0,1.0,1.0,1,1,Tecnológico
"Centro, Monterrey",30000,31424.337215300613,-4.5325927020891905,False,False,95.0,3.0,,1,1,Centro
"Contry, Monterrey",15800,15613.249930202579,1.1960999191857424,False,False,1.0,1.0,1.0,0,0,Contry
"Mitras Norte, Monterrey",27000,27193.813136784134,-0.7127104088318159,False,False,600.0,2.0,2.0,1,1,Mitras Norte
"Tecnológico, Monterrey",35000,34922.52252239363,0.22185533005724295,False,False,145.0,2.0,2.0,1,1,Tecnológico
"Mas Palomas (Valle de Santiago), Monterrey",40000,38314.30412503603,4.399651549099827,False,False,100.0,2.0,2.0,1,0,Mas Palomas (Valle de Santiago)
"Centro, Monterrey",22000,22168.51553300643,-0.7601570468511037,False,False,2665.0,2.0,2.0,1,1,Centro
"Regina, Monterrey",19000,20907.442476209482,-9.123270234415115,False,False,70.0,2.0,2.0,1,1,Regina
"Ladrillera, Monterrey",34000,33975.787828899774,0.07126301595170276,False,False,79.0,2.0,2.0,1,0,Ladrillera
"La Rioja Privada Residencial 1era. Etapa, Monterrey",34000,32918.9547272119,3.283959900143702,False,False,84.0,2.0,2.0,1,0,La Rioja Privada Residencial 1era. Etapa
"Contry, Monterrey",16000,16020.525141796908,-0.12811778400047047,False,False,35.0,1.0,1.0,0,0,Contry
"Monterrey, Nuevo León",13000,14812.65548969758,-12.237208182950777,False,False,40.0,1.0,1.0,0,0,Monterrey
"Centro, Monterrey",30000,30719.430885133577,-2.341940799045662,False,False,85.0,2.0,2.0,1,1,Centro
"Centro, Monterrey",23000,24709.839743537286,-6.919671520672184,False,False,85.0,2.0,2.0,1,0,Centro
"Centro, Monterrey",36000,35635.64609562227,1.0224422573959926,False,False,94.0,3.0,2.0,1,0,Centro
"San Jerónimo, Monterrey",23500,23279.360981164322,0.9477881244858932,False,False,80.0,1.0,1.0,1,1,San Jerónimo
"Tecnológico, Monterrey",16000,16061.283206864851,-0.3815585970033694,False,False,60.0,2.0,1.0,0,1,Tecnológico
"Mitras Centro, Monterrey",19000,18694.137767208184,1.6361398241556584,False,False,58.0,1.0,1.0,1,0,Mitras Centro
"San Jerónimo, Monterrey",29000,28644.705960641095,1.240348006528999,False,False,100.0,2.0,2.0,1,1,San Jerónimo
"Lagos del Bosque, Monterrey",25000,21840.31014771435,14.467238930745316,False,False,,,,0,0,Lagos del Bosque
"Cumbres Quinta Real, Monterrey",15000,14823.315913998058,1.1919336201631812,False,False,69.0,2.0,1.0,0,0,Cumbres Quinta Real
"Cumbres, Monterrey",25000,24139.87327250973,3.563095455309518,False,False,65.0,2.0,2.0,0,1,Cumbres
"Tecnológico, Monterrey",18000,18770.33511719584,-4.104003004667299,False,False,80.0,2.0,1.0,1,1,Tecnológico
"Monterrey, Nuevo León",20000,19498.24689321709,2.5733242046363545,False,False,40.0,1.0,1.0,1,0,Monterrey
"Cumbres Oro Sector Regency, Monterrey",19000,18755.473497238418,1.3037607544143677,False,False,95.0,2.0,2.0,1,1,Cumbres Oro Sector Regency
"Centro, Monterrey",34000,34971.896948562724,-2.779079870880916,False,False,98.0,3.0,2.0,1,1,Centro
"Centro, Monterrey",55000,52532.432599184795,4.697226605975787,False,False,1000.0,3.0,3.0,1,0,Centro
"Monterrey, Nuevo León",13000,12853.491170429244,1.1398368554359295,False,False,28.0,1.0,1.0,0,1,Monterrey
"Las Brisas, Monterrey",16500,16615.684566966127,-0.6962371396729636,False,False,100.0,1.0,1.0,0,0,Las Brisas
"Cumbres 3er Sector, Monterrey",13000,13610.909389945713,-4.488380404596533,False,False,91.0,2.0,2.0,0,0,Cumbres 3er Sector
"Colinas del Valle , Monterrey",32000,30215.589397229975,5.905595880693335,False,False,101.0,2.0,2.0,1,0,Colinas del Valle
"Centro, Monterrey",20000,20639.008215803697,-3.096118811147114,False,False,75.0,2.0,2.0,1,0,Centro
"Acero, Monterrey",20000,19544.98934548602,2.328016897175055,False,False,57.0,1.0,1.0,1,1,Acero
"Lomas de AnAhuac, Monterrey",9000,11363.956125098588,-20.802228546778025,False,True,1.0,1.0,1.0,0,1,Lomas de AnAhuac
"Centro, Monterrey",22000,22981.727797541684,-4.27177541301615,False,False,64.0,2.0,1.0,0,1,Centro
"Centro, Monterrey",26000,26014.399007164266,-0.055350143435180674,False,False,96.0,2.0,2.0,0,1,Centro
"Rincón de La Primavera 2 Sector, Monterrey",20000,19638.61197808715,1.8401912635989233,False,False,90.0,3.0,2.0,0,1,Rincón de La Primavera 2 Sector
"Mitras Norte, Monterrey",20000,18335.060332285513,9.08063370144879,False,False,56.0,1.0,1.0,0,0,Mitras Norte
"Del Paseo Residencia, Monterrey",45000,44631.55338035312,0.8255294556005062,False,False,90.0,2.0,2.0,1,1,Del Paseo Residencia
"Centro, Monterrey",25000,25245.28089458368,-0.9715910692691281,False,False,80.0,2.0,2.0,0,1,Centro
"Nueva Madero, Monterrey",8000,8190.770473605239,-2.329090703005256,False,False,200.0,2.0,1.0,0,0,Nueva Madero
"Centrika, Monterrey",19000,20650.171620051424,-7.99107944676401,False,False,95.0,2.0,2.0,1,1,Centrika
"Centro, Monterrey",24500,25059.79636921163,-2.233842450130169,False,False,60.0,1.0,1.0,1,1,Centro
"Ladrillera, Monterrey",27000,27913.529462650276,-3.272712122888742,False,False,80.0,1.0,1.0,0,1,Ladrillera
"Las Cumbres 5 Sector C, Monterrey",23000,26356.65015845638,-12.735496120622974,False,False,90.0,1.0,2.0,0,1,Las Cumbres 5 Sector C
"Contry, Monterrey",18000,17998.898401933384,0.006120363824587197,False,False,70.0,1.0,1.0,0,0,Contry
"Centro, Monterrey",18500,19419.314255112386,-4.734020177207669,False,False,56.0,1.0,1.0,1,0,Centro
"Estanzuela Nueva, Monterrey",27000,26850.435419223195,0.5570285116111242,False,False,126.0,3.0,2.0,0,0,Estanzuela Nueva
"Santa María, Monterrey",33000,33257.17960682763,-0.7733055234029296,False,False,100.0,2.0,2.0,1,1,Santa María
"Centro, Monterrey",7500,7803.5496241258625,-3.8898916358190707,False,False,35.0,1.0,1.0,0,1,Centro
"Monterrey, Nuevo León",24400,24327.783229520774,0.2968489557716639,False,False,67.0,1.0,1.0,1,0,Monterrey
"Tecnológico, Monterrey",44080,22587.310304517,95.1538248942589,True,False,92.0,2.0,2.0,0,1,Tecnológico
"Centro, Monterrey",23900,23699.010086790167,0.8480941291377584,False,False,52.0,2.0,2.0,1,0,Centro
"Loma Larga, Monterrey",13500,14170.267503720434,-4.73009774546919,False,False,,,,0,1,Loma Larga
"Centrika 1 Sector , Monterrey",20500,21043.468661626935,-2.5826001899485247,False,False,99.0,2.0,2.0,1,1,Centrika 1 Sector
"Centro, Monterrey",30000,25824.96689006984,16.166654260205586,False,False,100.0,2.0,1.0,1,1,Centro
"Centro, Monterrey",28000,28010.232203321557,-0.03653023383484664,False,False,76.0,2.0,2.0,1,1,Centro
"Prados de San Jerónimo, Monterrey",18000,18869.888704003417,-4.609930231431955,False,False,40.0,,,0,1,Prados de San Jerónimo
"Centro, Monterrey",26265,26546.576067403945,-1.0606869476839496,False,False,113.0,2.0,2.0,1,0,Centro
"Mitras Norte, Monterrey",19000,18791.51139312463,1.109482907009015,False,False,10.0,2.0,1.0,0,0,Mitras Norte
"Contry, Monterrey",26000,26362.51170247468,-1.3751030499899226,False,False,,,,1,0,Contry
"Centro, Monterrey",22000,21915.81696152942,0.38412001075913454,False,False,56.0,1.0,1.0,0,1,Centro
"Colinas de San Jerónimo, Monterrey",27500,25826.360467567334,6.480353801823596,False,False,96.0,2.0,2.0,1,0,Colinas de San Jerónimo
"Centro, Monterrey",30000,30188.90846662091,-0.6257545443545279,False,False,100.0,3.0,2.0,0,0,Centro
"Santa María, Monterrey",42000,39226.10703515976,7.071547942175097,False,False,120.0,2.0,2.0,0,0,Santa María
"San Jerónimo, Monterrey",25000,26577.153491797962,-5.93424533701358,False,False,105.0,3.0,2.0,1,0,San Jerónimo
"Cumbres Oro Sector Regency, Monterrey",18500,20709.858480349558,-10.670562922708383,False,False,95.0,2.0,2.0,1,0,Cumbres Oro Sector Regency
"Mas Palomas (Valle de Santiago), Monterrey",24000,25037.674363259695,-4.144451869628832,False,False,95.0,1.0,1.0,0,1,Mas Palomas (Valle de Santiago)
"Obispado, Monterrey",30000,32863.260391971926,-8.71264858635689,False,False,104.0,2.0,2.0,1,1,Obispado
"Centro, Monterrey",15000,15721.504083720693,-4.589281533614813,False,False,30.0,,,1,1,Centro
"Centro, Monterrey",20000,19868.382799073806,0.6624454655279198,False,False,84.0,2.0,2.0,1,1,Centro
"Privada Fundadores, Monterrey",45000,38583.69132949895,16.629587396671653,False,False,140.0,2.0,2.0,0,0,Privada Fundadores
"Monterrey, Nuevo León",42500,41695.497738149876,1.9294703397053679,False,False,93.0,2.0,2.0,1,1,Monterrey
"Mitras Centro, Monterrey",20000,20233.184957064506,-1.1524876462076168,False,False,65.0,6.0,1.0,1,0,Mitras Centro
"Vista Hermosa, Monterrey",12000,11855.241185123874,1.2210533098033594,False,False,30.0,1.0,1.0,0,1,Vista Hermosa
"Centro, Monterrey",34000,33691.5418842249,0.9155357651337662,False,False,100.0,2.0,2.0,1,1,Centro
"Tecnológico, Monterrey",52000,50958.48961241606,2.0438407721766088,False,False,164.0,3.0,3.0,1,0,Tecnológico
"Mitras Norte, Monterrey",20500,19802.95813764835,3.5198875718798255,False,False,57.0,2.0,1.0,1,0,Mitras Norte
"Centro, Monterrey",25000,24927.52861688956,0.29072831175624625,False,False,97.0,2.0,1.0,0,0,Centro
"Centro, Monterrey",23000,19612.461488685803,17.272378142174695,False,False,48.0,1.0,1.0,0,1,Centro
"Privada Fundadores, Monterrey",45000,44422.760180660465,1.2994235769951936,False,False,96.0,2.0,2.0,0,1,Privada Fundadores
"San Jerónimo, Monterrey",35000,34826.87273048551,0.49710828432476833,False,False,100.0,2.0,2.0,0,1,San Jerónimo
"Colinas del Valle , Monterrey",22000,21765.444972385736,1.0776486670125454,False,False,89.0,2.0,2.0,1,0,Colinas del Valle
"Santa María, Monterrey",35000,35936.18331646223,-2.605127284158102,False,False,100.0,2.0,2.0,1,1,Santa María
"Colinas del Valle , Monterrey",22000,22746.640645097923,-3.282421596873602,False,False,110.0,2.0,2.0,1,0,Colinas del Valle
"Acero, Monterrey",22000,21767.22380590728,1.0693885273029058,False,False,57.0,2.0,1.0,1,1,Acero
"Colinas de San Jerónimo, Monterrey",45000,44629.64738710889,0.829835399950047,False,False,268.0,3.0,3.0,0,0,Colinas de San Jerónimo
"Tecnológico, Monterrey",11800,11598.15710364799,1.7403014508962211,False,False,45.0,1.0,1.0,0,1,Tecnológico
"Obrera, Monterrey",40000,38637.21604260324,3.5271277203152698,False,False,90.0,2.0,2.0,1,1,Obrera
"Ladrillera, Monterrey",24000,24718.043615477287,-2.904937084210344,False,False,69.0,1.0,1.0,1,0,Ladrillera
"Regina, Monterrey",20000,19120.201093618933,4.601410320285211,False,False,,,,0,1,Regina
"Monterrey, Nuevo León",45000,44342.33911294811,1.4831443270881737,False,False,173.0,3.0,2.0,1,0,Monterrey
"Centro, Monterrey",25000,21807.336800004265,14.640316831329494,False,False,88.0,1.0,2.0,0,1,Centro
"Centro, Monterrey",19600,19336.370441377087,1.3633869883811476,False,False,42.0,1.0,1.0,1,0,Centro
"San Jerónimo, Monterrey",39500,46101.881028159885,-14.320198831208936,False,False,178.0,3.0,3.0,1,0,San Jerónimo
"Roma, Monterrey",9700,15594.282262297378,-37.797714336286624,False,True,80.0,1.0,1.0,1,0,Roma
"Ladrillera, Monterrey",26500,27869.132542780048,-4.912720339172321,False,False,1.0,1.0,1.0,0,1,Ladrillera
"5 de Mayo, Monterrey",22000,22623.16045664978,-2.7545243196408085,False,False,59.0,2.0,2.0,1,0,5 de Mayo
"Centro, Monterrey",24522,23379.97861405349,4.8846126200477045,False,False,48.0,1.0,1.0,1,1,Centro
"San Jerónimo, Monterrey",28000,28381.86348746241,-1.3454489612040383,False,False,160.0,3.0,2.0,0,1,San Jerónimo
"Las Torres, Monterrey",12300,18514.657838753537,-33.56615008971684,False,True,37.0,,,0,1,Las Torres
"Contry Tesoro, Monterrey",18000,21198.514805680697,-15.08839102644857,False,False,110.0,3.0,2.0,0,0,Contry Tesoro
"Centro, Monterrey",15000,15036.864013162582,-0.2451575882465423,False,False,70.0,2.0,1.0,0,1,Centro
"Mitras Centro, Monterrey",20000,20668.774007059856,-3.235673324559172,False,False,60.0,1.0,1.0,1,1,Mitras Centro
"Mitras Centro, Monterrey",19000,19555.193168075803,-2.839108585141287,False,False,,,,1,0,Mitras Centro
"Centro, Monterrey",15500,15537.367675170175,-0.2405019688752766,False,False,40.0,,,1,1,Centro
"Centro, Monterrey",21612,22293.84459896104,-3.058443311266361,False,False,50.0,1.0,1.0,1,1,Centro
"Monterrey, Nuevo León",38000,36162.437041875426,5.081413500967067,False,False,,,,1,1,Monterrey
"Eugenio Garza Sada, Monterrey",20000,20127.05313602641,-0.6312555303935261,False,False,44.0,2.0,1.0,0,0,Eugenio Garza Sada
"Obispado, Monterrey",30000,30620.01646161865,-2.0248730512467947,False,False,160.0,3.0,3.0,0,1,Obispado
"Las Brisas, Monterrey",8500,9100.868671092703,-6.602322182730271,False,False,50.0,1.0,1.0,0,1,Las Brisas
"Obispado, Monterrey",27000,27935.144641447216,-3.3475561105910536,False,False,86.0,2.0,1.0,1,1,Obispado
"Tecnológico, Monterrey",19000,19814.922921813955,-4.112672681238738,False,False,25.0,1.0,1.0,0,1,Tecnológico
"Centro, Monterrey",17500,18951.633564701777,-7.659675139590637,False,False,65.0,2.0,2.0,1,0,Centro
"Eugenio Garza Sada, Monterrey",35000,33815.17282985883,3.503832957183554,False,False,92.0,2.0,2.0,1,0,Eugenio Garza Sada
"San Jerónimo, Monterrey",31000,30700.008316548054,0.9771713426222215,False,False,187.0,3.0,3.0,0,0,San Jerónimo
"Centro, Monterrey",24780,22816.93903204681,8.603524623509037,False,False,65.0,2.0,2.0,0,0,Centro
"Centro, Monterrey",34000,30853.88613026893,10.196815585718403,False,False,98.0,2.0,2.0,1,0,Centro
"Del Carmen, Monterrey",17500,18741.435845536107,-6.624016728322318,False,False,50.0,1.0,1.0,1,1,Del Carmen
"Las Canteras, Monterrey",23500,23139.205846302753,1.5592330873139941,False,False,60.0,1.0,1.0,1,1,Las Canteras
"Centro, Monterrey",16940,17128.71901906416,-1.1017696002492445,False,False,23.0,,,1,0,Centro
"Regina, Monterrey",24000,23905.029077467945,0.39728427948900147,False,False,80.0,3.0,2.0,1,0,Regina
"Centro, Monterrey",16300,17202.623268797168,-5.24700945136887,False,False,32.0,,,0,1,Centro
"Mitras Centro, Monterrey",20000,19254.344210413703,3.8726626128508155,False,False,56.0,1.0,1.0,0,0,Mitras Centro
"Santa María, Monterrey",36000,38774.0552597152,-7.154410961489856,False,False,120.0,3.0,2.0,1,0,Santa María
"Lomas de Montecristo, Monterrey",40000,42547.07733808047,-5.986491898941279,False,False,160.0,2.0,2.0,1,0,Lomas de Montecristo
"Tecnológico, Monterrey",11800,10752.975444212874,9.737068230269438,False,False,40.0,1.0,1.0,1,1,Tecnológico
"Roma, Monterrey",30000,30488.898536445307,-1.6035296777313752,False,False,90.0,3.0,2.0,1,1,Roma
"Lomas de Valle Alto, Monterrey",40000,41293.915333235745,-3.1334285518678513,False,False,99.0,2.0,2.0,0,0,Lomas de Valle Alto
"Buenos Aires, Monterrey",18000,25899.06295723884,-30.499416022428083,False,True,66.0,2.0,2.0,0,0,Buenos Aires
"Roma, Monterrey",24800,24939.57510303803,-0.5596530913673353,False,False,90.0,2.0,2.0,1,0,Roma
"Eugenio Garza Sada, Monterrey",13000,13258.544513406241,-1.9500218379537546,False,False,1.0,1.0,,0,1,Eugenio Garza Sada
"Las Lajas 1 Sector, Monterrey",25000,26442.85465001,-5.45650108169941,False,False,140.0,3.0,2.0,1,1,Las Lajas 1 Sector
"Tecnológico, Monterrey",37000,35732.60575661861,3.546884467407304,False,False,90.0,2.0,2.0,1,0,Tecnológico
"Ladrillera, Monterrey",33000,31704.302087623175,4.086820485105848,False,False,,,,1,0,Ladrillera
"Centro, Monterrey",17500,18504.689271489864,-5.429376612325973,False,False,60.0,2.0,1.0,1,0,Centro
"Contry, Monterrey",44000,42939.14679593074,2.4705968404798253,False,False,134.0,4.0,4.0,1,1,Contry
"Monterrey, Nuevo León",29000,29116.096753306705,-0.39873735236684843,False,False,90.0,2.0,2.0,1,0,Monterrey
"Centro, Monterrey",20000,19657.958902822447,1.739962418623447,False,False,60.0,2.0,2.0,1,0,Centro
"Nuevo Repueblo, Monterrey",10200,16678.242249874816,-38.8424760404439,False,True,49.0,1.0,1.0,0,1,Nuevo Repueblo
"Centro, Monterrey",35000,33991.736957342015,2.9662004148929095,False,False,100.0,3.0,2.0,0,1,Centro
"Balcones de Satélite, Monterrey",28000,33450.47944457154,-16.294174358855297,False,False,110.0,3.0,2.0,1,0,Balcones de Satélite
"Loma Larga, Monterrey",22000,16909.463162049396,30.104662632788393,True,False,108.0,,,0,0,Loma Larga
"Centro, Monterrey",9600,9536.163316762138,0.6694168411068729,False,False,40.0,1.0,1.0,0,0,Centro
"Lagos del Bosque, Monterrey",8000,8102.493001467336,-1.264956371437473,False,False,1.0,1.0,1.0,0,1,Lagos del Bosque
"Residencial Mederos, Monterrey",14000,14541.362883351274,-3.722917086204431,False,False,65.0,,,0,0,Residencial Mederos
"Centro, Monterrey",33200,31689.29594706373,4.76723766744414,False,False,97.0,2.0,2.0,1,0,Centro
"Contry, Monterrey",9500,10089.781650329585,-5.845336111018021,False,False,75.0,1.0,1.0,0,1,Contry
"Regina, Monterrey",16500,16381.115239102583,0.7257427785724458,False,False,,,,1,0,Regina
"Los Nogales, Monterrey",30000,29829.66020865548,0.5710416751414833,False,False,86.0,2.0,2.0,1,0,Los Nogales
"Miravalle, Monterrey",30000,30344.390644549898,-1.1349400572383985,False,False,172.0,3.0,2.0,0,0,Miravalle
"Centro, Monterrey",20500,21946.166548386063,-6.5896089196152365,False,False,68.0,2.0,2.0,1,0,Centro
"Nuevo Repueblo, Monterrey",8500,8798.709376152214,-3.394922634469865,False,False,75.0,2.0,1.0,0,0,Nuevo Repueblo
