location,price,precio_estimado,diferencia_pct,sobrevaluado,subvaluado,m2,recamaras,banos,Lujo,Amueblado,colonia
"Centro, Monterrey",32000,31020.945078876975,3.1561092630594616,False,False,99.0,2.0,2.0,0,1,Centro
"Centro, Monterrey",24522,25061.2843937478,-2.1518625513157574,False,False,80.0,1.0,1.0,1,1,Centro
"Reforma, Monterrey",12000,12348.910242936374,-2.825433467993274,False,False,1.0,2.0,1.0,0,1,Reforma
"Ladrillera, Monterrey",37000,37173.2414542231,-0.466038062449937,False,False,103.0,2.0,2.0,1,1,Ladrillera
"Contry, Monterrey",10800,12315.476958742915,-12.305467046219903,False,False,1.0,1.0,1.0,0,0,Contry
"Chepevera, Monterrey",26000,24731.84065460204,5.127638347297788,False,False,79.0,2.0,2.0,1,0,Chepevera
"Del Paseo Residencial, Monterrey",45000,49805.66042668531,-9.648823819451838,False,False,110.0,3.0,2.0,1,0,Del Paseo Residencial
"Las Brisas, Monterrey",11000,10787.435282503062,1.970484289641232,False,False,30.0,1.0,1.0,0,1,Las Brisas
"San Jerónimo, Monterrey",31000,31759.950730400356,-2.392795684260738,False,False,187.0,3.0,3.0,0,0,San Jerónimo
"Cumbres 5to Sector, Monterrey",13500,13870.291083137221,-2.6696705996848302,False,False,120.0,3.0,2.0,0,0,Cumbres 5to Sector
"Centro, Monterrey",20500,20781.14631717985,-1.3528912837085647,False,False,250.0,1.0,1.0,0,0,Centro
"Centro, Monterrey",24000,24667.83290946065,-2.707302712450758,False,False,77.0,2.0,2.0,1,1,Centro
"Centro, Monterrey",20000,19623.05009021876,1.9209547346012923,False,False,54.0,2.0,2.0,0,0,Centro
"Centro, Monterrey",24000,22571.962501546685,6.326598754341643,False,False,56.0,1.0,1.0,0,0,Centro
"Ladrillera, Monterrey",47500,47112.0965170081,0.8233628126735096,False,False,129.0,3.0,2.0,0,1,Ladrillera
"Centro, Monterrey",18500,18680.96519140432,-0.968714354692916,False,False,45.0,,,1,1,Centro
"Nueva Madero, Monterrey",7000,6922.455300519103,1.1201906854506123,False,False,200.0,1.0,1.0,0,0,Nueva Madero
"Centro, Monterrey",22000,22376.80632774582,-1.6839146848163247,False,False,58.0,1.0,1.0,1,1,Centro
"Contry, Monterrey",10500,9512.477977356064,10.381333076351696,False,False,30.0,1.0,1.0,0,0,Contry
"Centro, Monterrey",26300,27885.29127745366,-5.685044712928746,False,False,,,,1,0,Centro
"Tecnológico, Monterrey",17500,17779.96306205729,-1.5745986708753923,False,False,70.0,2.0,1.0,0,0,Tecnológico
"Centro, Monterrey",40000,40043.94480298615,-0.10974144331273603,False,False,186.0,3.0,2.0,1,1,Centro
"Los Cedros, Monterrey",12000,12335.645870591332,-2.720942819796124,False,False,60.0,1.0,1.0,1,1,Los Cedros
"Centro, Monterrey",11500,14396.9087830232,-20.12174159524597,False,True,20.0,1.0,1.0,1,0,Centro
"Santa María, Monterrey",33000,32761.68942975623,0.7274062308499966,False,False,121.0,3.0,2.0,0,0,Santa María
"Ladrillera, Monterrey",28800,26132.177785064305,10.208954787000085,False,False,59.0,1.0,1.0,1,1,Ladrillera
"Ladrillera, Monterrey",24000,24477.013602138562,-1.948822719520349,False,False,53.0,1.0,1.0,0,1,Ladrillera
"Mitras Norte, Monterrey",22000,22550.087055611726,-2.4394010287194594,False,False,40.0,1.0,1.0,1,1,Mitras Norte
"Centro, Monterrey",17500,18264.432267986118,-4.185360140243802,False,False,70.0,2.0,2.0,0,0,Centro
"Centro, Monterrey",25000,22546.377265259267,10.882558673944544,False,False,60.0,2.0,1.0,1,0,Centro
"Centro, Monterrey",18000,17980.215438696236,0.11003517377875728,False,False,37.0,1.0,1.0,1,1,Centro
"Regina, Monterrey",19000,19321.32972122945,-1.6630828512614528,False,False,66.0,2.0,2.0,0,1,Regina
"Centro, Monterrey",19000,19363.515665145278,-1.877322648591204,False,False,66.0,2.0,2.0,1,1,Centro
"Centro, Monterrey",22000,24876.588546662475,-11.563436607341433,False,False,68.0,,,1,0,Centro
"Mitras Centro, Monterrey",13000,12584.080473734972,3.305124495453761,False,False,39.0,,,0,1,Mitras Centro
"Del Paseo Residencial, Monterrey",40000,40216.25777729787,-0.5377371969699953,False,False,90.0,2.0,2.0,1,0,Del Paseo Residencial
"Monterrey Centro, Monterrey",34800,32001.700429726825,8.7442215029105,False,False,83.0,2.0,2.0,1,1,Monterrey Centro
"Balcones de Satélite, Monterrey",28000,28008.336240443412,-0.02976342604518796,False,False,136.0,3.0,3.0,0,0,Balcones de Satélite
"Acero, Monterrey",19000,19269.799003996777,-1.4001132234997251,False,False,57.0,1.0,1.0,1,1,Acero
"Centro, Monterrey",20000,20253.508182685462,-1.2516754154333811,False,False,60.0,2.0,1.0,1,0,Centro
"Monterrey, Nuevo León",16000,26460.342843158323,-39.53215158685287,False,True,,,,1,1,Monterrey
"Monterrey, Nuevo León",28000,29132.426446604928,-3.887168302580234,False,False,700.0,2.0,3.0,0,1,Monterrey
"Roma Sur, Monterrey",14500,13561.830484297243,6.917720412366384,False,False,35.0,1.0,1.0,0,1,Roma Sur
"Colinas del Valle , Monterrey",27000,26881.511090526634,0.44078217580232365,False,False,130.0,3.0,2.0,1,0,Colinas del Valle
"Centro, Monterrey",28000,28636.963460826184,-2.2242702572062694,False,False,1500.0,2.0,2.0,1,1,Centro
"San Jerónimo, Monterrey",36000,36377.73141030399,-1.0383588961157633,False,False,120.0,3.0,2.0,1,0,San Jerónimo
"Puerta de Hierro Cumbres, Monterrey",19500,19313.607293512763,0.9650848940572806,False,False,100.0,2.0,2.0,1,1,Puerta de Hierro Cumbres
"Centro, Monterrey",28000,27408.222664320918,2.1591233511446823,False,False,85.0,2.0,2.0,1,1,Centro
"Garza Nieto, Monterrey",12200,12893.462398844262,-5.378403235630656,False,False,1.0,1.0,,1,1,Garza Nieto
"Centro, Monterrey",12000,12701.244652524609,-5.521070349473374,False,False,80.0,2.0,1.0,0,0,Centro
"Monterrey Centro, Monterrey",20500,24580.45914211819,-16.600418724996047,False,False,70.0,2.0,2.0,1,1,Monterrey Centro
"Monterrey, Nuevo León",29000,26656.902139095644,8.789835550575523,False,False,58.0,1.0,1.0,1,1,Monterrey
"Tecnológico, Monterrey",16000,17013.746611416118,-5.958397257050368,False,False,60.0,1.0,1.0,1,1,Tecnológico
"Obispado, Monterrey",30000,29765.63732969883,0.7873598260479108,False,False,1.0,2.0,1.0,1,1,Obispado
"Cumbres 2do Sector, Monterrey",12500,12716.676241073848,-1.7038747937452507,False,False,96.0,3.0,2.0,0,1,Cumbres 2do Sector
"Mitras Centro, Monterrey",19500,19349.217789874183,0.7792677293896826,False,False,56.0,1.0,1.0,1,0,Mitras Centro
"Centro, Monterrey",32000,28031.846576361488,14.155875934997272,False,False,75.0,2.0,1.0,0,1,Centro
"Santa María, Monterrey",27000,27598.995308675214,-2.170351862362654,False,False,84.0,2.0,2.0,0,0,Santa María
"Alfonso Reyes, Monterrey",17000,17233.4101473477,-1.354404876063496,False,False,,,,0,1,Alfonso Reyes
"Lomas de Valle Alto, Monterrey",55000,54882.823701756024,0.2135026777789984,False,False,138.0,3.0,3.0,1,0,Lomas de Valle Alto
"Centro, Monterrey",22000,21490.371305688073,2.3714280552101865,False,False,1.0,2.0,2.0,0,0,Centro
"Monterrey Centro, Monterrey",18500,18198.645956965585,1.6559146419301074,False,False,51.0,2.0,2.0,1,1,Monterrey Centro
"Mitras Centro, Monterrey",19000,19068.066783181468,-0.3569674050098499,False,False,1.0,1.0,1.0,1,0,Mitras Centro
"Jardín Español, Monterrey",14500,15440.29909094707,-6.089902050526887,False,False,100.0,2.0,2.0,0,0,Jardín Español
"Centro, Monterrey",26000,26894.87248170196,-3.327297730490417,False,False,1.0,2.0,2.0,1,0,Centro
"Monterrey Centro, Monterrey",25000,25211.39084160455,-0.83847354131572,False,False,64.0,2.0,2.0,1,0,Monterrey Centro
"Centro, Monterrey",22000,22695.916865227446,-3.066264603276126,False,False,150.0,2.0,2.0,0,1,Centro
"Centro, Monterrey",9600,9610.632675263087,-0.11063449850137545,False,False,40.0,1.0,1.0,0,1,Centro
"Obispado, Monterrey",30000,30332.810484533824,-1.0971963336648882,False,False,145.0,2.0,2.0,1,1,Obispado
"Colinas del Valle , Monterrey",31000,30593.743377394643,1.327907531922148,False,False,104.0,2.0,2.0,1,1,Colinas del Valle
"Ladrillera, Monterrey",24500,25392.20567146244,-3.513698979152352,False,False,61.0,1.0,1.0,1,0,Ladrillera
